GENESIS-Tabelle: 47414-0006
Produktionsindex im Dienstleistungsbereich: Deutschland, Monate, Original- und bereinigte Daten, Wirtschaftszweige;;;;;;
Konjunkturstatistik im Dienstleistungsbereich;;;;;;
Deutschland;;;;;;
Produktionsindex (2015=100);;;;;;
;;;;Original- und bereinigte Daten;Original- und bereinigte Daten;Original- und bereinigte Daten
;;;;Originalwerte;X13 JDemetra+  kalenderbereinigt;X13 JDemetra+  kalender- und saisonbereinigt
WZ08-553;Campingplätze;2015;Januar;102,9;102,9;94,1
WZ08-553;Campingplätze;2015;Februar;63,7;63,7;125,0
WZ08-553;Campingplätze;2015;März;74,9;72,4;93,1
WZ08-553;Campingplätze;2015;April;97,2;100,5;86,5
WZ08-553;Campingplätze;2015;Mai;110,3;110,3;98,4
WZ08-553;Campingplätze;2015;Juni;117,4;117,4;92,9
WZ08-553;Campingplätze;2015;Juli;167,8;167,8;101,1
WZ08-553;Campingplätze;2015;August;186,7;186,7;106,2
WZ08-553;Campingplätze;2015;September;113,3;113,3;100,9
WZ08-553;Campingplätze;2015;Oktober;78,7;78,7;104,2
WZ08-553;Campingplätze;2015;November;42,6;42,6;125,4
WZ08-553;Campingplätze;2015;Dezember;44,5;44,5;101,7
WZ08-553;Campingplätze;2016;Januar;103,3;103,3;94,1
WZ08-553;Campingplätze;2016;Februar;55,3;55,3;109,0
WZ08-553;Campingplätze;2016;März;85,0;79,2;102,5
WZ08-553;Campingplätze;2016;April;99,0;106,2;90,7
WZ08-553;Campingplätze;2016;Mai;122,9;122,9;111,6
WZ08-553;Campingplätze;2016;Juni;110,3;110,3;86,2
WZ08-553;Campingplätze;2016;Juli;168,2;168,2;101,3
WZ08-553;Campingplätze;2016;August;179,9;179,9;102,4
WZ08-553;Campingplätze;2016;September;123,7;123,7;110,3
WZ08-553;Campingplätze;2016;Oktober;79,1;79,1;104,5
WZ08-553;Campingplätze;2016;November;36,3;36,3;107,9
WZ08-553;Campingplätze;2016;Dezember;36,4;36,4;83,1
WZ08-553;Campingplätze;2017;Januar;119,2;119,2;107,5
WZ08-553;Campingplätze;2017;Februar;50,8;50,8;101,2
WZ08-553;Campingplätze;2017;März;81,0;86,8;114,7
WZ08-553;Campingplätze;2017;April;146,5;136,7;115,5
WZ08-553;Campingplätze;2017;Mai;110,5;110,5;104,5
WZ08-553;Campingplätze;2017;Juni;148,9;148,9;113,4
WZ08-553;Campingplätze;2017;Juli;169,7;169,7;102,1
WZ08-553;Campingplätze;2017;August;180,2;180,2;102,7
WZ08-553;Campingplätze;2017;September;114,6;114,6;101,3
WZ08-553;Campingplätze;2017;Oktober;79,9;79,9;104,6
WZ08-553;Campingplätze;2017;November;37,3;37,3;112,5
WZ08-553;Campingplätze;2017;Dezember;57,5;57,5;132,1
WZ08-553;Campingplätze;2018;Januar;130,4;130,4;116,1
WZ08-553;Campingplätze;2018;Februar;53,4;53,4;108,0
WZ08-553;Campingplätze;2018;März;85,3;79,5;108,0
WZ08-553;Campingplätze;2018;April;142,1;152,5;128,9
WZ08-553;Campingplätze;2018;Mai;138,7;138,7;139,5
WZ08-553;Campingplätze;2018;Juni;143,7;143,7;105,1
WZ08-553;Campingplätze;2018;Juli;191,6;191,6;114,4
WZ08-553;Campingplätze;2018;August;191,5;191,5;108,6
WZ08-553;Campingplätze;2018;September;123,3;123,3;107,8
WZ08-553;Campingplätze;2018;Oktober;84,7;84,7;109,5
WZ08-553;Campingplätze;2018;November;35,0;35,0;106,9
WZ08-553;Campingplätze;2018;Dezember;53,9;53,9;126,2
WZ08-553;Campingplätze;2019;Januar;129,3;129,3;114,3
WZ08-553;Campingplätze;2019;Februar;61,2;61,2;126,3
WZ08-553;Campingplätze;2019;März;97,8;104,8;148,1
WZ08-553;Campingplätze;2019;April;154,4;144,0;121,8
WZ08-553;Campingplätze;2019;Mai;109,2;109,2;115,8
WZ08-553;Campingplätze;2019;Juni;171,6;171,6;122,1
WZ08-553;Campingplätze;2019;Juli;185,1;185,1;108,8
WZ08-553;Campingplätze;2019;August;189,3;189,3;106,7
WZ08-553;Campingplätze;2019;September;116,9;116,9;101,0
WZ08-553;Campingplätze;2019;Oktober;79,7;79,7;101,0
WZ08-553;Campingplätze;2019;November;32,0;32,0;98,4
WZ08-553;Campingplätze;2019;Dezember;42,9;42,9;102,8
WZ08-553;Campingplätze;2020;Januar;123,7;123,7;110,3
WZ08-553;Campingplätze;2020;Februar;62,5;62,5;131,5
WZ08-553;Campingplätze;2020;März;62,3;64,3;93,7
WZ08-553;Campingplätze;2020;April;88,8;86,0;73,8
WZ08-553;Campingplätze;2020;Mai;81,7;81,7;89,4
WZ08-553;Campingplätze;2020;Juni;161,9;161,9;112,8
WZ08-553;Campingplätze;2020;Juli;186,4;186,4;107,6
WZ08-553;Campingplätze;2020;August;210,3;210,3;117,4
WZ08-553;Campingplätze;2020;September;144,4;144,4;124,3
WZ08-553;Campingplätze;2020;Oktober;93,9;93,9;116,9
WZ08-553;Campingplätze;2020;November;23,2;23,2;70,9
WZ08-553;Campingplätze;2020;Dezember;32,0;32,0;78,9
WZ08-553;Campingplätze;2021;Januar;112,2;112,2;101,8
WZ08-553;Campingplätze;2021;Februar;46,1;46,1;98,4
WZ08-553;Campingplätze;2021;März;63,9;61,3;91,4
WZ08-553;Campingplätze;2021;April;94,4;98,4;85,7
WZ08-553;Campingplätze;2021;Mai;84,6;84,6;92,8
WZ08-553;Campingplätze;2021;Juni;155,0;155,0;107,2
WZ08-553;Campingplätze;2021;Juli;204,4;204,4;116,2
WZ08-553;Campingplätze;2021;August;210,6;210,6;116,8
WZ08-553;Campingplätze;2021;September;140,5;140,5;120,2
WZ08-553;Campingplätze;2021;Oktober;94,6;94,6;115,6
WZ08-553;Campingplätze;2021;November;41,2;41,2;125,1
WZ08-553;Campingplätze;2021;Dezember;47,7;47,7;121,1
WZ08-553;Campingplätze;2022;Januar;128,2;128,2;118,9
WZ08-553;Campingplätze;2022;Februar;57,3;57,3;123,8
WZ08-553;Campingplätze;2022;März;83,1;89,1;134,3
WZ08-553;Campingplätze;2022;April;188,7;175,9;154,9
WZ08-553;Campingplätze;2022;Mai;133,8;133,8;146,0
WZ08-553;Campingplätze;2022;Juni;172,0;172,0;118,4
WZ08-553;Campingplätze;2022;Juli;211,3;211,3;118,8
WZ08-553;Campingplätze;2022;August;192,3;192,3;106,2
WZ08-553;Campingplätze;2022;September;119,7;119,7;102,3
WZ08-553;Campingplätze;2022;Oktober;93,9;93,9;113,9
WZ08-553;Campingplätze;2022;November;44,1;44,1;132,2
WZ08-553;Campingplätze;2022;Dezember;47,2;47,2;122,1
WZ08-553;Campingplätze;2023;Januar;143,6;143,6;135,5
WZ08-553;Campingplätze;2023;Februar;59,2;59,2;129,3
WZ08-553;Campingplätze;2023;März;83,2;83,6;126,7
WZ08-553;Campingplätze;2023;April;175,9;175,2;154,5
WZ08-553;Campingplätze;2023;Mai;135,7;135,7;146,7
WZ08-553;Campingplätze;2023;Juni;163,6;163,6;112,9
WZ08-553;Campingplätze;2023;Juli;198,1;198,1;110,3
WZ08-553;Campingplätze;2023;August;183,4;183,4;101,2
WZ08-553;Campingplätze;2023;September;125,7;125,7;107,6
WZ08-553;Campingplätze;2023;Oktober;90,4;90,4;109,4
WZ08-553;Campingplätze;2023;November;31,3;31,3;93,1
WZ08-553;Campingplätze;2023;Dezember;44,0;44,0;114,4
WZ08-553;Campingplätze;2024;Januar;137,2;137,2;131,4
WZ08-553;Campingplätze;2024;Februar;...;...;...
WZ08-553;Campingplätze;2024;März;...;...;...
WZ08-553;Campingplätze;2024;April;...;...;...
WZ08-553;Campingplätze;2024;Mai;...;...;...
WZ08-553;Campingplätze;2024;Juni;...;...;...
WZ08-553;Campingplätze;2024;Juli;...;...;...
WZ08-553;Campingplätze;2024;August;...;...;...
WZ08-553;Campingplätze;2024;September;...;...;...
WZ08-553;Campingplätze;2024;Oktober;...;...;...
WZ08-553;Campingplätze;2024;November;...;...;...
WZ08-553;Campingplätze;2024;Dezember;...;...;...
__________
© Statistisches Bundesamt (Destatis), 2024
Stand: 24.04.2024 / 12:04:16
