Region,Ankuenfte,Uebernachtungen,Aufenthaltslaenge_mean,Sequence
BRD,37869,189332,5.0,200901
BRD_Deutschland,34177,176850,5.2,200901
BRD_Ausland,3692,12482,3.4,200901
BW,6347,33881,5.3,200901
BW_Deutschland,5157,30531,5.9,200901
BW_Ausland,1190,3350,2.8,200901
BY,9338,76208,8.2,200901
BY_Deutschland,8574,72239,8.4,200901
BY_Ausland,764,3969,5.2,200901
BE,143,507,3.5,200901
BE_Deutschland,82,318,3.9,200901
BE_Ausland,61,189,3.1,200901
BR,189,874,4.6,200901
BR_Deutschland,,,,200901
BR_Ausland,,,,200901
HB,295,533,1.8,200901
HB_Deutschland,,,,200901
HB_Ausland,,,,200901
HH,,,,200901
HH_Deutschland,,,,200901
HH_Ausland,,,,200901
HE,2817,10990,3.9,200901
HE_Deutschland,2663,10661,4.0,200901
HE_Ausland,154,329,2.1,200901
MV,1594,8525,5.3,200901
MV_Deutschland,,,,200901
MV_Ausland,,,,200901
NI,6190,22525,3.6,200901
NI_Deutschland,5881,21556,3.7,200901
NI_Ausland,309,969,3.1,200901
NW,4966,16389,3.3,200901
NW_Deutschland,4470,14665,3.3,200901
NW_Ausland,496,1724,3.5,200901
RP,2093,6854,3.3,200901
RP_Deutschland,1519,5440,3.6,200901
RP_Ausland,574,1414,2.5,200901
SL,79,296,3.7,200901
SL_Deutschland,66,271,4.1,200901
SL_Ausland,13,25,1.9,200901
SN,303,1144,3.8,200901
SN_Deutschland,290,1103,3.8,200901
SN_Ausland,13,41,3.2,200901
ST,610,2719,4.5,200901
ST_Deutschland,590,,,200901
ST_Ausland,20,,,200901
SH,2309,4887,2.1,200901
SH_Deutschland,2244,4656,2.1,200901
SH_Ausland,65,231,3.6,200901
TH,596,3000,5.0,200901
TH_Deutschland,572,2911,5.1,200901
TH_Ausland,24,89,3.7,200901
BRD,36968,142714,3.9,200902
Deutschland,32101,127213,4.0,200902
Ausland,4867,15501,3.2,200902
BW,5654,25604,4.5,200902
Deutschland,4455,21757,4.9,200902
Ausland,1199,3847,3.2,200902
BY,8126,48777,6.0,200902
Deutschland,6996,44432,6.4,200902
Ausland,1130,4345,3.8,200902
BE,111,457,4.1,200902
Deutschland,63,327,5.2,200902
Ausland,48,130,2.7,200902
BR,199,829,4.2,200902
Deutschland,,,,200902
Ausland,,,,200902
HB,338,597,1.8,200902
Deutschland,,,,200902
Ausland,,,,200902
HH,,,,200902
Deutschland,,,,200902
Ausland,,,,200902
HE,2797,9576,3.4,200902
Deutschland,2477,8788,3.5,200902
Ausland,320,788,2.5,200902
MV,934,3971,4.3,200902
Deutschland,,,,200902
Ausland,,,,200902
NI,4838,16784,3.5,200902
Deutschland,4375,15155,3.5,200902
Ausland,463,1629,3.5,200902
NW,6080,16782,2.8,200902
Deutschland,5227,13969,2.7,200902
Ausland,853,2813,3.3,200902
RP,4309,10278,2.4,200902
Deutschland,3573,8642,2.4,200902
Ausland,736,1636,2.2,200902
SL,159,937,5.9,200902
Deutschland,150,920,6.1,200902
Ausland,9,17,1.9,200902
SN,370,1463,4.0,200902
Deutschland,,,,200902
Ausland,,,,200902
ST,542,1747,3.2,200902
Deutschland,523,1711,3.3,200902
Ausland,19,36,1.9,200902
SH,2326,4139,1.8,200902
Deutschland,2257,3932,1.7,200902
Ausland,69,207,3.0,200902
TH,185,773,4.2,200902
Deutschland,,,,200902
Ausland,,,,200902
BRD,70389,248868,3.5,200903
Deutschland,62646,226163,3.6,200903
Ausland,7743,22705,2.9,200903
BW,8692,39267,4.5,200903
Deutschland,7206,34488,4.8,200903
Ausland,1486,4779,3.2,200903
BY,11221,61991,5.5,200903
Deutschland,9977,59002,5.9,200903
Ausland,1244,2989,2.4,200903
BE,387,1565,4.0,200903
Deutschland,276,997,3.6,200903
Ausland,111,568,5.1,200903
BR,347,1369,3.9,200903
Deutschland,309,1273,4.1,200903
Ausland,38,96,2.5,200903
HB,1013,1817,1.8,200903
Deutschland,966,1732,1.8,200903
Ausland,47,85,1.8,200903
HH,443,,,200903
Deutschland,443,,,200903
Ausland,,,,200903
HE,5564,16450,3.0,200903
Deutschland,5135,15401,3.0,200903
Ausland,429,1049,2.4,200903
MV,3991,12476,3.1,200903
Deutschland,3919,12287,3.1,200903
Ausland,72,189,2.6,200903
NI,15274,60818,4.0,200903
Deutschland,13676,54827,4.0,200903
Ausland,1598,5991,3.7,200903
NW,8785,21975,2.5,200903
Deutschland,7843,18953,2.4,200903
Ausland,942,3022,3.2,200903
RP,5322,12144,2.3,200903
Deutschland,4059,9300,2.3,200903
Ausland,1263,2844,2.3,200903
SL,185,468,2.5,200903
Deutschland,165,434,2.6,200903
Ausland,20,34,1.7,200903
SN,1130,2944,2.6,200903
Deutschland,1099,2866,2.6,200903
Ausland,31,78,2.5,200903
ST,791,2205,2.8,200903
Deutschland,737,2116,2.9,200903
Ausland,54,89,1.6,200903
SH,6964,11497,1.7,200903
Deutschland,6574,10681,1.6,200903
Ausland,390,816,2.1,200903
TH,280,1201,4.3,200903
Deutschland,262,1125,4.3,200903
Ausland,18,76,4.2,200903
BRD,434480,1424930,3.3,200904
Deutschland,371067,1248704,3.4,200904
Ausland,63413,176226,2.8,200904
BW,62934,208443,3.3,200904
Deutschland,47361,166671,3.5,200904
Ausland,15573,41772,2.7,200904
BY,64362,227936,3.5,200904
Deutschland,53435,203109,3.8,200904
Ausland,10927,24827,2.3,200904
BE,1716,6038,3.5,200904
Deutschland,,,,200904
Ausland,,,,200904
BR,12891,41684,3.2,200904
Deutschland,11896,39004,3.3,200904
Ausland,995,2680,2.7,200904
HB,2057,3833,1.9,200904
Deutschland,,,,200904
Ausland,,,,200904
HH,2835,5155,1.8,200904
Deutschland,2419,4484,1.9,200904
Ausland,416,671,1.6,200904
HE,21630,65238,3.0,200904
Deutschland,19363,59827,3.1,200904
Ausland,2267,5411,2.4,200904
MV,33556,124231,3.7,200904
Deutschland,31890,119691,3.8,200904
Ausland,1666,4540,2.7,200904
NI,75660,296017,3.9,200904
Deutschland,69021,274917,4.0,200904
Ausland,6639,21100,3.2,200904
NW,35475,95014,2.7,200904
Deutschland,29758,78751,2.6,200904
Ausland,5717,16263,2.8,200904
RP,40709,122388,3.0,200904
Deutschland,27898,80740,2.9,200904
Ausland,12811,41648,3.3,200904
SL,2153,5419,2.5,200904
Deutschland,1808,4689,2.6,200904
Ausland,345,730,2.1,200904
SN,10695,33361,3.1,200904
Deutschland,10016,31476,3.1,200904
Ausland,679,1885,2.8,200904
ST,6820,16827,2.5,200904
Deutschland,6183,15515,2.5,200904
Ausland,637,1312,2.1,200904
SH,55913,156909,2.8,200904
Deutschland,52490,147542,2.8,200904
Ausland,3423,9367,2.7,200904
TH,5074,16437,3.2,200904
Deutschland,4431,14623,3.3,200904
Ausland,643,1814,2.8,200904
BRD,920580,2893258,3.1,200905
Deutschland,802800,2553076,3.2,200905
Ausland,117780,340182,2.9,200905
BW,108262,347685,3.2,200905
Deutschland,84464,285621,3.4,200905
Ausland,23798,62064,2.6,200905
BY,127362,423929,3.3,200905
Deutschland,106425,377702,3.5,200905
Ausland,20937,46227,2.2,200905
BE,3423,10828,3.2,200905
Deutschland,2129,6590,3.1,200905
Ausland,1294,4238,3.3,200905
BR,45116,137410,3.0,200905
Deutschland,42607,130314,3.1,200905
Ausland,2509,7096,2.8,200905
HB,3825,8240,2.2,200905
Deutschland,,,,200905
Ausland,,,,200905
HH,4249,11476,2.7,200905
Deutschland,3553,9951,2.8,200905
Ausland,696,1525,2.2,200905
HE,48264,137366,2.8,200905
Deutschland,42601,122731,2.9,200905
Ausland,5663,14635,2.6,200905
MV,110900,361603,3.3,200905
Deutschland,106285,347533,3.3,200905
Ausland,4615,14070,3.0,200905
NI,138284,514007,3.7,200905
Deutschland,126479,470285,3.7,200905
Ausland,11805,43722,3.7,200905
NW,76194,200570,2.6,200905
Deutschland,65628,167983,2.6,200905
Ausland,10566,32587,3.1,200905
RP,83360,253893,3.0,200905
Deutschland,57521,165415,2.9,200905
Ausland,25839,88478,3.4,200905
SL,7493,17552,2.3,200905
Deutschland,7029,16512,2.3,200905
Ausland,464,1040,2.2,200905
SN,28967,80712,2.8,200905
Deutschland,27009,74698,2.8,200905
Ausland,1958,6014,3.1,200905
ST,19446,48654,2.5,200905
Deutschland,18342,46133,2.5,200905
Ausland,1104,2521,2.3,200905
SH,99663,297680,3.0,200905
Deutschland,94772,286129,3.0,200905
Ausland,4891,11551,2.4,200905
TH,15772,41653,2.6,200905
Deutschland,14326,37606,2.6,200905
Ausland,1446,4047,2.8,200905
BRD,950070,3161855,3.3,200906
Deutschland,770828,2673920,3.5,200906
Ausland,179242,487935,2.7,200906
BW,121624,408993,3.4,200906
Deutschland,86477,317889,3.7,200906
Ausland,35147,91104,2.6,200906
BY,167660,584052,3.5,200906
Deutschland,128640,497049,3.9,200906
Ausland,39020,87003,2.2,200906
BE,4596,13561,3.0,200906
Deutschland,3037,9402,3.1,200906
Ausland,1559,4159,2.7,200906
BR,37510,106474,2.8,200906
Deutschland,33303,95007,2.9,200906
Ausland,4207,11467,2.7,200906
HB,3316,6439,1.9,200906
Deutschland,2732,5387,2.0,200906
Ausland,584,1052,1.8,200906
HH,5676,10608,1.9,200906
Deutschland,,8569,2.0,200906
Ausland,,2039,,200906
HE,54154,146191,2.7,200906
Deutschland,45773,125103,2.7,200906
Ausland,8381,21088,2.5,200906
MV,125605,501381,4.0,200906
Deutschland,114535,464446,4.1,200906
Ausland,11070,36935,3.3,200906
NI,125741,466449,3.7,200906
Deutschland,105382,410768,3.9,200906
Ausland,20359,55681,2.7,200906
NW,62899,156945,2.5,200906
Deutschland,52825,128011,2.4,200906
Ausland,10074,28934,2.9,200906
RP,77998,254015,3.3,200906
Deutschland,48124,150582,3.1,200906
Ausland,29874,103433,3.5,200906
SL,5787,13474,2.3,200906
Deutschland,5124,11266,2.2,200906
Ausland,663,2208,3.3,200906
SN,23063,62612,2.7,200906
Deutschland,19641,51801,2.6,200906
Ausland,3422,10811,3.2,200906
ST,17842,41984,2.4,200906
Deutschland,15676,36669,2.3,200906
Ausland,2166,5315,2.5,200906
SH,100871,350050,3.5,200906
Deutschland,91689,330066,3.6,200906
Ausland,9182,19984,2.2,200906
TH,15728,38627,2.5,200906
Deutschland,13478,31905,2.4,200906
Ausland,2250,6722,3.0,200906
BRD,1732820,6613380,3.8,200907
Deutschland,1324869,5500054,4.2,200907
Ausland,407951,1113326,2.7,200907
BW,192289,640208,3.3,200907
Deutschland,110125,408984,3.7,200907
Ausland,82164,231224,2.8,200907
BY,283327,875378,3.1,200907
Deutschland,175239,656106,3.7,200907
Ausland,108088,219272,2.0,200907
BE,11166,31687,2.8,200907
Deutschland,5005,14901,3.0,200907
Ausland,6161,16786,2.7,200907
BR,79545,269404,3.4,200907
Deutschland,71037,247797,3.5,200907
Ausland,8508,21607,2.5,200907
HB,,,,200907
Deutschland,,,,200907
Ausland,,,,200907
HH,,,,200907
Deutschland,,,,200907
Ausland,,,,200907
HE,83621,265357,3.2,200907
Deutschland,64133,212084,3.3,200907
Ausland,19488,53273,2.7,200907
MV,287513,1405638,4.9,200907
Deutschland,268745,1342774,5.0,200907
Ausland,18768,62864,3.3,200907
NI,230639,986941,4.3,200907
Deutschland,184546,864737,4.7,200907
Ausland,46093,122204,2.7,200907
NW,93587,266933,2.9,200907
Deutschland,74121,204956,2.8,200907
Ausland,19466,61977,3.2,200907
RP,113657,419514,3.7,200907
Deutschland,59997,203277,3.4,200907
Ausland,53660,216237,4.0,200907
SL,9574,28053,2.9,200907
Deutschland,8418,25445,3.0,200907
Ausland,1156,2608,2.3,200907
SN,39836,127040,3.2,200907
Deutschland,32502,105539,3.2,200907
Ausland,7334,21501,2.9,200907
ST,30691,79835,2.6,200907
Deutschland,24965,68527,2.7,200907
Ausland,5726,11308,2.0,200907
SH,227888,1077923,4.7,200907
Deutschland,204599,1022737,5.0,200907
Ausland,23289,55186,2.4,200907
TH,35759,113658,3.2,200907
Deutschland,31293,102503,3.3,200907
Ausland,4466,11155,2.5,200907
BRD,1824117,6853152,3.8,200908
Deutschland,1475247,5806888,3.9,200908
Ausland,348870,1046264,3.0,200908
BW,242895,936305,3.9,200908
Deutschland,165015,694655,4.2,200908
Ausland,77880,241650,3.1,200908
BY,360002,1337770,3.7,200908
Deutschland,267342,1118488,4.2,200908
Ausland,92660,219282,2.4,200908
BE,13209,42284,3.2,200908
Deutschland,6157,21033,3.4,200908
Ausland,7052,21251,3.0,200908
BR,77127,246258,3.2,200908
Deutschland,70281,226562,3.2,200908
Ausland,6846,19696,2.9,200908
HB,3504,,,200908
Deutschland,,5216,,200908
Ausland,,,,200908
HH,10159,,,200908
Deutschland,,14476,,200908
Ausland,,,,200908
HE,81427,255427,3.1,200908
Deutschland,66773,215727,3.2,200908
Ausland,14654,39700,2.7,200908
MV,274491,1199456,4.4,200908
Deutschland,259662,1149022,4.4,200908
Ausland,14829,50434,3.4,200908
NI,182466,745232,4.1,200908
Deutschland,151847,658374,4.3,200908
Ausland,30619,86858,2.8,200908
NW,99921,264826,2.7,200908
Deutschland,80338,203015,2.5,200908
Ausland,19583,61811,3.2,200908
RP,120401,436221,3.6,200908
Deutschland,66911,207326,3.1,200908
Ausland,53490,228895,4.3,200908
SL,12559,35151,2.8,200908
Deutschland,11115,32048,2.9,200908
Ausland,1444,3103,2.1,200908
SN,40539,116696,2.9,200908
Deutschland,34524,98909,2.9,200908
Ausland,6015,17787,3.0,200908
ST,25699,58609,2.3,200908
Deutschland,22145,51351,2.3,200908
Ausland,3554,7258,2.0,200908
SH,192289,865595,4.5,200908
Deutschland,178937,832311,4.7,200908
Ausland,13352,33284,2.5,200908
TH,87429,288878,3.3,200908
Deutschland,83416,278375,3.3,200908
Ausland,4013,10503,2.6,200908
BRD,624866,2170883,3.5,200909
Deutschland,502702,1824878,3.6,200909
Ausland,122164,346005,2.8,200909
BW,88679,330648,3.7,200909
Deutschland,66615,269926,4.1,200909
Ausland,22064,60722,2.8,200909
BY,125240,458441,3.7,200909
Deutschland,93186,389495,4.2,200909
Ausland,32054,68946,2.2,200909
BE,2879,9388,3.3,200909
Deutschland,1636,5386,3.3,200909
Ausland,1243,4002,3.2,200909
BR,19661,60086,3.1,200909
Deutschland,17869,55188,3.1,200909
Ausland,1792,4898,2.7,200909
HB,3504,6449,1.8,200909
Deutschland,3255,5971,1.8,200909
Ausland,249,478,1.9,200909
HH,3975,6236,1.6,200909
Deutschland,3528,5481,1.6,200909
Ausland,447,755,1.7,200909
HE,31129,88190,2.8,200909
Deutschland,25979,74570,2.9,200909
Ausland,5150,13620,2.6,200909
MV,67862,304659,4.5,200909
Deutschland,63130,289083,4.6,200909
Ausland,4732,15576,3.3,200909
NI,67908,257190,3.8,200909
Deutschland,58430,230471,3.9,200909
Ausland,9478,26719,2.8,200909
NW,40316,93015,2.3,200909
Deutschland,32900,71726,2.2,200909
Ausland,7416,21289,2.9,200909
