state,stateLabel,area,year,population,populationDensity
http://www.wikidata.org/entity/Q64,Berlin,891.12,1250,1200,1.34661998384056019391
http://www.wikidata.org/entity/Q64,Berlin,891.12,1307,7000,7.85528323906993446449
http://www.wikidata.org/entity/Q64,Berlin,891.12,1400,8500,9.53855821887063470689
http://www.wikidata.org/entity/Q64,Berlin,891.12,1450,7000,7.85528323906993446449
http://www.wikidata.org/entity/Q64,Berlin,891.12,1576,12000,13.46619983840560193913
http://www.wikidata.org/entity/Q64,Berlin,891.12,1600,9000,10.09964987880420145435
http://www.wikidata.org/entity/Q64,Berlin,891.12,1631,8100,9.08968489092378130891
http://www.wikidata.org/entity/Q64,Berlin,891.12,1640,7500,8.41637489900350121196
http://www.wikidata.org/entity/Q64,Berlin,891.12,1648,6000,6.73309991920280096957
http://www.wikidata.org/entity/Q64,Berlin,891.12,1680,10000,11.22183319867133494928
http://www.wikidata.org/entity/Q64,Berlin,891.12,1685,17000,19.07711643774126941377
http://www.wikidata.org/entity/Q64,Berlin,891.12,1688,19000,21.32148307747553640363
http://www.wikidata.org/entity/Q64,Berlin,891.12,1750,113289,127.13102612442768650687
http://www.wikidata.org/entity/Q64,Berlin,891.12,1775,136137,152.77067061675195259898
http://www.wikidata.org/entity/Q64,Berlin,891.12,1800,172132,193.1636592153694227489
http://www.wikidata.org/entity/Q64,Berlin,891.12,1801,172988,194.12424813717568902056
http://www.wikidata.org/entity/Q64,Berlin,891.12,1825,219968,246.84442050453362061226
http://www.wikidata.org/entity/Q64,Berlin,891.12,1852,401972,451.08627345363138522309
http://www.wikidata.org/entity/Q64,Berlin,891.12,1900,1888848,2119.63371936439536762726
http://www.wikidata.org/entity/Q64,Berlin,891.12,1910,2071257,2324.33005655803932130353
http://www.wikidata.org/entity/Q64,Berlin,891.12,1920,3879409,4353.4080707424364844241
http://www.wikidata.org/entity/Q64,Berlin,891.12,1930,4332834,4862.2340425531914893617
http://www.wikidata.org/entity/Q64,Berlin,891.12,1940,4330810,4859.96274351378041116797
http://www.wikidata.org/entity/Q64,Berlin,891.12,1950,3336026,3743.63273184307388454978
http://www.wikidata.org/entity/Q64,Berlin,891.12,1960,3274016,3674.04614417811293652931
http://www.wikidata.org/entity/Q64,Berlin,891.12,1970,3208719,3600.77093994074872071102
http://www.wikidata.org/entity/Q64,Berlin,891.12,1980,3048759,3421.26649609480204686238
http://www.wikidata.org/entity/Q64,Berlin,891.12,1990,3433695,3853.23525451117694586588
http://www.wikidata.org/entity/Q64,Berlin,891.12,2000,3382169,3795.41363677170302540623
http://www.wikidata.org/entity/Q64,Berlin,891.12,2011,3326002,3732.38396624472573839662
http://www.wikidata.org/entity/Q64,Berlin,891.12,2012,3375222,3787.61782924858604901697
http://www.wikidata.org/entity/Q64,Berlin,891.12,2014,3469849,3893.80667025765329024149
http://www.wikidata.org/entity/Q64,Berlin,891.12,2015,3490105,3916.53761558488194631475
http://www.wikidata.org/entity/Q64,Berlin,891.12,2016,3574830,4011.6145973606248316725
http://www.wikidata.org/entity/Q64,Berlin,891.12,2017,3613495,4055.00381542328754825388
http://www.wikidata.org/entity/Q64,Berlin,891.12,2017,3611222,4052.45309273722955381991
http://www.wikidata.org/entity/Q64,Berlin,891.12,2018,3644826,4090.16294101804470778346
http://www.wikidata.org/entity/Q64,Berlin,891.12,2019,3644826,4090.16294101804470778346
http://www.wikidata.org/entity/Q64,Berlin,891.12,2021,3664088,4111.77843612532543316276
http://www.wikidata.org/entity/Q64,Berlin,891.12,2021,3677472,4126.79773767842714785887
http://www.wikidata.org/entity/Q64,Berlin,891.12,2022,3755251,4214.08003411437292396086
http://www.wikidata.org/entity/Q64,Berlin,891.12,2022,3677472,4126.79773767842714785887
http://www.wikidata.org/entity/Q1055,Hamburg,755.09,950,500,0.66217272113258022223
http://www.wikidata.org/entity/Q1055,Hamburg,755.09,1430,16000,21.18952707624256711121
http://www.wikidata.org/entity/Q1055,Hamburg,755.09,1840,136956,181.37705439086731383014
