Geoeffnete Campingplaetze und angebotene Stellplaetze;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(Urlaubscamping): Bundeslaender, Jahre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Monatserhebung im Tourismus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Baden-Wuerttemberg;Baden-Wuerttemberg;Bayern;Bayern;Berlin;Berlin;Brandenburg;Brandenburg;Bremen;Bremen;Hamburg;Hamburg;Hessen;Hessen;Mecklenburg-Vorpommern;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen;Nordrhein-Westfalen;Nordrhein-Westfalen;Rheinland-Pfalz;Rheinland-Pfalz;Saarland;Saarland;Sachsen;Sachsen;Sachsen-Anhalt;Sachsen-Anhalt;Schleswig-Holstein;Schleswig-Holstein;Th�ringen;Th�ringen
;Geoeffnete Campingplaetze;Angebotene Stellplaetze;Geoeffnete Campingplaetze;Angebotene Stellplaetze;Geoeffnete Campingplaetze;Angebotene Stellplaetze;Ge�ffnete Campingpl�tze;Angebotene Stellpl�tze;Ge�ffnete Campingpl�tze;Angebotene Stellpl�tze;Ge�ffnete Campingpl�tze;Angebotene Stellpl�tze;Ge�ffnete Campingpl�tze;Angebotene Stellpl�tze;Ge�ffnete Campingpl�tze;Angebotene Stellpl�tze;Ge�ffnete Campingpl�tze;Angebotene Stellpl�tze;Ge�ffnete Campingpl�tze;Angebotene Stellpl�tze;Ge�ffnete Campingpl�tze;Angebotene Stellpl�tze;Ge�ffnete Campingpl�tze;Angebotene Stellpl�tze;Ge�ffnete Campingpl�tze;Angebotene Stellpl�tze;Ge�ffnete Campingpl�tze;Angebotene Stellpl�tze;Ge�ffnete Campingpl�tze;Angebotene Stellpl�tze;Ge�ffnete Campingpl�tze;Angebotene Stellpl�tze
;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
1992;207;19431;309;31210;6;207;143;12135;-;-;-;-;151;13055;137;26947;258;23355;169;12024;243;18324;27;1858;62;5895;49;4104;239;17388;38;3210
1993;207;18996;319;31417;7;670;149;11756;-;-;-;-;149;13052;145;29047;249;21957;179;12088;244;18470;27;1775;65;5462;58;4707;272;17522;39;3233
1994;210;19419;324;31333;7;670;156;11644;-;-;-;-;143;13515;159;29320;262;22922;180;11928;248;18793;29;1312;75;7656;64;4929;235;17237;40;3263
1995;208;20157;335;31092;7;657;159;11562;-;-;-;-;155;14688;164;28421;260;24030;184;12121;245;18815;32;1404;74;6722;63;4986;234;16235;42;3473
1996;208;20571;339;31190;6;627;160;11193;-;-;-;-;150;13043;164;27108;267;24516;189;12519;243;18773;28;1268;82;6713;63;4456;233;16403;43;3762
1997;210;20571;345;31732;6;627;167;11686;-;-;-;-;143;12114;161;25934;276;23659;189;12476;240;18632;33;1470;81;6358;61;4274;233;16571;47;3569
1998;220;22069;343;30877;7;687;166;11535;-;-;-;-;146;12393;164;26084;278;23653;194;13018;247;19540;28;1276;81;6145;62;4335;235;16322;47;3444
1999;229;21007;365;32572;7;667;168;11567;-;-;-;-;166;15311;164;24967;275;23584;194;12355;249;18682;31;1506;91;6345;62;4705;228;16174;50;3650
2000;254;21168;370;32743;7;725;164;11075;-;-;-;-;162;13799;159;23816;282;24784;194;12302;250;19211;32;1601;95;6429;63;4811;229;16256;51;4199
2001;255;21193;379;33505;7;720;161;10194;-;-;-;-;160;12284;161;23265;283;23982;197;12587;250;19152;33;1600;96;5927;62;4725;230;16305;51;4207
2002;259;21685;392;34064;7;730;168;10567;-;-;-;-;155;11849;163;23372;280;10041;192;12611;250;19291;32;1627;93;6360;62;4655;226;16696;47;3957
2003;259;20748;398;34301;6;720;174;10397;.;.;.;.;172;12944;163;22762;289;24453;196;11927;248;19294;31;1544;95;6856;62;4764;240;16486;52;3986
2004;261;20060;406;35118;6;720;176;11150;.;.;.;.;170;13453;170;22945;285;25517;198;13129;254;19719;28;1315;97;6938;61;4654;217;16984;54;3932
2005;267;20598;411;34923;5;685;174;10610;-;-;-;-;181;12723;173;23359;280;24522;196;13322;252;19814;25;1117;101;6811;63;4944;222;17420;56;7499
2006;267;20414;420;34870;5;685;169;10426;.;.;.;.;202;12916;175;23543;279;25158;210;13504;255;19755;24;1687;103;6633;62;4880;226;17892;55;7906
2007;294;21794;420;34873;5;685;168;10267;.;.;.;.;227;13274;179;23857;291;25344;221;13841;254;19352;24;2059;101;6576;64;4652;224;18275;55;9551
2008;315;22517;426;35201;8;833;172;10407;4;250;4;454;230;13099;181;24833;340;26595;246;14497;261;19243;27;2030;108;6796;71;4897;263;19749;60;8263
2009;325;22457;432;35512;9;900;183;10643;4;250;4;454;232;12618;188;25459;367;27778;258;14809;270;19664;31;1831;112;6873;72;4746;258;19678;61;9970
2010;337;22929;442;36707;10;897;180;10697;4;250;4;454;234;12876;196;25681;373;28727;283;15365;340;21108;31;1732;115;6910;72;4699;262;19882;65;10078
2011;328;22606;417;37338;11;1005;173;10787;3;243;4;404;217;12711;198;26740;355;28274;273;15240;284;21870;28;1680;102;6867;67;4784;251;19884;64;10124
2012;340;22928;423;37177;11;1141;172;10594;3;243;5;437;216;12704;197;26741;372;28886;287;15792;292;21983;29;1687;102;6923;70;4788;250;20282;63;9848
2013;341;22351;424;36652;11;1259;172;10500;3;243;5;352;219;12557;196;26660;367;29566;295;15562;284;21455;28;1686;98;6869;65;4579;249;20287;63;9939
