Region,Ankuenfte,Ankuenfte_Change,Uebernachtungen,Uebernachtungen_Change,Aufenthaltslaenge_mean,Sequence
BRD,37869,16.0,189332,12.4,5.0,200901
BRD_Deutschland,34177,18.9,176850,14.5,5.2,200901
BRD_Ausland,3692,-5.7,12482,-10.1,3.4,200901
BW,6347,7.1,33881,9.2,5.3,200901
BW_Deutschland,5157,6.8,30531,11.1,5.9,200901
BW_Ausland,1190,8.6,3350,-5.8,2.8,200901
BY,9338,-5.3,76208,4.0,8.2,200901
BY_Deutschland,8574,-1.0,72239,7.0,8.4,200901
BY_Ausland,764,-36.5,3969,-31.3,5.2,200901
BE,143,70.2,507,90.6,3.5,200901
BE_Deutschland,82,-999.0,318,-999.0,3.9,200901
BE_Ausland,61,238.9,189,384.6,3.1,200901
BR,189,87.1,874,91.7,4.6,200901
BR_Deutschland,-999,-999.0,-999,-999.0,-999.0,200901
BR_Ausland,-999,-999.0,-999,-999.0,-999.0,200901
HB,295,-999.0,533,-999.0,1.8,200901
HB_Deutschland,-999,-999.0,-999,-999.0,-999.0,200901
HB_Ausland,-999,-999.0,-999,-999.0,-999.0,200901
HH,-999,-999.0,-999,-999.0,-999.0,200901
HH_Deutschland,-999,-999.0,-999,-999.0,-999.0,200901
HH_Ausland,-999,-999.0,-999,-999.0,-999.0,200901
HE,2817,-2.6,10990,-5.1,3.9,200901
HE_Deutschland,2663,-1.7,10661,-2.3,4.0,200901
HE_Ausland,154,-15.8,329,-50.5,2.1,200901
MV,1594,54.9,8525,103.7,5.3,200901
MV_Deutschland,-999,-999.0,-999,-999.0,-999.0,200901
MV_Ausland,-999,-999.0,-999,-999.0,-999.0,200901
NI,6190,31.7,22525,16.4,3.6,200901
NI_Deutschland,5881,32.5,21556,15.9,3.7,200901
NI_Ausland,309,17.0,969,28.7,3.1,200901
NW,4966,45.6,16389,37.1,3.3,200901
NW_Deutschland,4470,44.7,14665,34.4,3.3,200901
NW_Ausland,496,55.0,1724,65.8,3.5,200901
RP,2093,-21.1,6854,-3.8,3.3,200901
RP_Deutschland,1519,-21.4,5440,-1.5,3.6,200901
RP_Ausland,574,-20.2,1414,-11.6,2.5,200901
SL,79,259.1,296,236.4,3.7,200901
SL_Deutschland,66,230.0,271,215.1,4.1,200901
SL_Ausland,13,-999.0,25,-999.0,1.9,200901
SN,303,-34.0,1144,-36.3,3.8,200901
SN_Deutschland,290,-34.4,1103,-36.7,3.8,200901
SN_Ausland,13,-23.5,41,-24.1,3.2,200901
ST,610,10.9,2719,29.6,4.5,200901
ST_Deutschland,590,10.3,-999,-999.0,-999.0,200901
ST_Ausland,20,33.3,-999,-999.0,-999.0,200901
SH,2309,439.5,4887,95.5,2.1,200901
