land,date,campingplaetze_anzahl,urlaubs_campingplaetze_offen,urlaubs_stellplaetze_anzahl,change_urlaubs_stellplaetze_offen_vorjahresmonat,anteil_urlaubs_stellplaetze_offen_an_urlaubs_stellplaetze_anzah
Baden-Württemberg,2023-01-01,392,199,11771,8.2,47.7
Bayern,2023-01-01,516,268,20432,1.1,51.8
Berlin,2023-01-01,10,5,600,-3.1,74.3
Brandenburg,2023-01-01,187,53,3600,-1.4,30.6
Bremen,2023-01-01,3,3,316,0.0,100.0
Hamburg,2023-01-01,7,3,215,0.0,42.5
Hessen,2023-01-01,240,103,5641,13.8,45.2
Mecklenburg-Vorpommern,2023-01-01,216,55,9693,-1.8,35.1
Niedersachsen,2023-01-01,418,194,14749,1.8,43.6
Nordrhein-Westfalen,2023-01-01,323,239,10749,-0.3,63.9
Rheinland-Pfalz,2023-01-01,268,110,8484,6.8,40.9
Saarland,2023-01-01,32,13,1037,52.9,48.2
Sachsen,2023-01-01,109,34,2158,61.3,32.6
Sachsen-Anhalt,2023-01-01,88,43,3269,14.3,58.5
Schleswig-Holstein,2023-01-01,278,95,5276,0.5,23.6
Thüringen,2023-01-01,94,39,2102,0.3,17.0
Baden-Württemberg,2023-02-01,392,194,11384,6.3,45.8
Bayern,2023-02-01,516,265,20140,3.6,51.0
Berlin,2023-02-01,10,5,600,-3.1,74.3
Brandenburg,2023-02-01,187,53,3602,-1.3,30.6
Bremen,2023-02-01,3,3,316,0.0,100.0
Hamburg,2023-02-01,7,3,215,0.0,42.5
Hessen,2023-02-01,240,99,5266,13.1,42.3
Mecklenburg-Vorpommern,2023-02-01,216,50,7823,-2.2,28.3
Niedersachsen,2023-02-01,419,186,14479,0.7,42.8
Nordrhein-Westfalen,2023-02-01,323,242,10851,-0.3,64.4
Rheinland-Pfalz,2023-02-01,266,105,8088,3.0,39.3
Saarland,2023-02-01,32,14,1098,61.9,51.0
Sachsen,2023-02-01,110,31,1929,12.3,29.1
Sachsen-Anhalt,2023-02-01,88,42,3074,7.4,55.0
Schleswig-Holstein,2023-02-01,279,91,5009,7.5,22.4
Thüringen,2023-02-01,94,39,2102,-6.3,17.0
Baden-Württemberg,2023-03-01,392,228,14922,10.8,60.5
